id,failure
26570,0.18017614638643026
26571,0.151227475022462
26572,0.16490605190792457
26573,0.1708000739665443
26574,0.32057937777119383
26575,0.1531298597944967
26576,0.14388986751772032
26577,0.21144099818417178
26578,0.12644326245656032
26579,0.14833760059259493
26580,0.13626799553698427
26581,0.19363896406082434
26582,0.20258198076103043
26583,0.16219923537965686
26584,0.20384288720314472
26585,0.15732294968695906
26586,0.15752503470349566
26587,0.15586110909348985
26588,0.20711429842646178
26589,0.1612595254683403
26590,0.1556557372699981
26591,0.21200238397165755
26592,0.23086186961178273
26593,0.16511602623095714
26594,0.1624813869592137
26595,0.20999567065142308
26596,0.22944284035202792
26597,0.15546801856651046
26598,0.278600722126452
26599,0.15518678044036868
26600,0.16811598490693266
26601,0.21379135413607608
26602,0.28691900863720854
26603,0.1834971558301581
26604,0.14683877316109945
26605,0.14823929545496214
26606,0.1275019614371162
26607,0.16608043029653022
26608,0.13474242325812913
26609,0.2154198977158694
26610,0.14914307549591882
26611,0.1781593779850524
26612,0.10679681621913488
26613,0.1861548167006483
26614,0.16090744305216784
26615,0.17791790809798919
26616,0.21398766441531147
26617,0.13585444208777267
26618,0.37365083833756957
26619,0.14809252292758468
26620,0.17137761391948586
26621,0.15655725703228915
26622,0.17059091363480056
26623,0.20079611105843023
26624,0.16797770125832667
26625,0.20776325619043204
26626,0.13666269715145388
26627,0.34927340719376615
26628,0.11944284701733053
26629,0.2884625312028511
26630,0.1698119142810627
26631,0.2186765709956699
26632,0.21748616601263276
26633,0.1819228977288765
26634,0.22333450401607652
26635,0.23771130200704335
26636,0.41154849578589514
26637,0.20104579857714736
26638,0.251575622478257
26639,0.1469431846993902
26640,0.1679567929677257
26641,0.18431280645059508
26642,0.22465049237482593
26643,0.22277642910167325
26644,0.15006104469034595
26645,0.16830044743734404
26646,0.24043347452149896
26647,0.2139188336045595
26648,0.16527323810601993
26649,0.19380405650330804
26650,0.21803489754671174
26651,0.19325129924461554
26652,0.21457566342098794
26653,0.20242334025316724
26654,0.26580825212994447
26655,0.2120317629165964
26656,0.16657769298378974
26657,0.20389482009255938
26658,0.21937124202524644
26659,0.17179601851387713
26660,0.19219633341704614
26661,0.17034531371880865
26662,0.15872860741736616
26663,0.2586130346582152
26664,0.16691267491541578
26665,0.16680762065883364
26666,0.1274528489272782
26667,0.1892605581320913
26668,0.2239624861578249
26669,0.13745945724288575
26670,0.18603485332175954
26671,0.1405259738322827
26672,0.169888971530841
26673,0.16743686548583794
26674,0.151400343277329
26675,0.14986733342958497
26676,0.13554069483851316
26677,0.3096684173345262
26678,0.16697814166546543
26679,0.18640802684107957
